Signature,CreatorWallet,LaunchTimestamp,InitialLiquidity,Buyers10s,Buyers30s,Buyers5m,MaxPriceAchievedPct,TimeAtMaxPriceSec,TradeResult,Profit_SOL,RunningTotal_SOL
SPsdHFW3BuRprjqxcMbiKnEAbbRmSgqEwcP6zcW4DzVYp3fUWuoQBAEM8zDsJvtxhu4AkQY7dFyw6Bk3CPovgT2,[object Object],2025-05-20T15:57:52.000Z,54,1,5,61,451,61,Skipped,0,0
3JtsHmS9nymPCjQ5YbTFCxwMKNrCWK1Gu1hWYmRvAw4YHfP3tSo1hgDegmNEUroE4PfDkX4zFLJReHi9TLzwxWoj,[object Object],2025-05-20T15:57:52.000Z,26,8,25,73,119,242,Partial Exit (Win),0.05,0.05
59A8AR7QLyRNkPECVM8kmCXP4sJEP3aRcHUq5rbTN5Q497R5EzUWDoLaK81hWRE7ebLe3214siAc3BNKfHEDZf4a,[object Object],2025-05-20T15:57:52.000Z,41,4,3,69,259,88,Skipped,0,0.05
58twwHA9CuQg51EQgviSzc4CQEX9B2wwLwH6VPfccB93rfgkqbnrmDWMKj71sH5eHhLszZrB8ujcyHHRXW7CMoHc,[object Object],2025-05-20T15:57:52.000Z,29,7,18,80,252,181,Moonshot (Win),0.2,0.25
5fM7YCx2X5fmCJ4rxbCtKjCFNiMtVNG4hMeGbiYppX9Z2SSeN8WjJFkcjvZx86TnEbyCnjaVF83dhF5NQKHjzvTn,[object Object],2025-05-20T15:57:52.000Z,94,4,17,92,224,155,Skipped,0,0.25
53sgryUkEm3UoijNzdyvmwhVTb4NHUvCMx3Fx71Qqo7draKZ3R5ZT5tRwkfsov1hJYMQd6ebDJhuuwhqW4Cr5GPX,[object Object],2025-05-20T15:57:52.000Z,69,0,25,74,152,294,Skipped,0,0.25
2pc9nDKPmGrCUxV8jYbVvK2q2pYgvNDe9ogt6uPwK748JS1JQ2Vjw89hWHrwXEQbhzg4BYLHNh21azMHycqxGW7K,[object Object],2025-05-20T15:57:52.000Z,50,2,23,41,88,230,Skipped,0,0.25
2vyiaCpYML9TBHFTxkbg6Ta4hVesdCVEJz9kr84Ay77zvCumnUezT7ycy2QgvUq27AR4RPcLHywW6Z2ej1BLfiuS,[object Object],2025-05-20T15:57:52.000Z,51,8,10,1,317,283,Moonshot (Win),0.2,0.45
5sxuSfdzWpdTHe88rnMQeABwgNQM7d4xcHM3gwEu2nwNvLHzhfwTK2kw5UE7CTbmYGU1zUM4t5EaHfg1nwH4jLRi,[object Object],2025-05-20T15:57:52.000Z,21,7,12,85,272,183,Moonshot (Win),0.2,0.65
5us7N1WiXNGc4hFW4uiuuU6je3exLHTMn8PM3qTqvZ9ibszNh93YWAFyeHxcif6Qo8HJLDtc68tUHT1zYLS98Y21,[object Object],2025-05-20T15:57:52.000Z,24,1,12,61,415,284,Skipped,0,0.65
4ZV1NQAbNKzw3VKKRdFunxKo7ZPcdbW5dzebPcSjsEiBVjkV2KmZv4MRBtQ2NgEnYgRdJAyyZETE7j74wuWtnsRu,[object Object],2025-05-20T15:57:52.000Z,74,9,15,77,272,295,Moonshot (Win),0.2,0.8500000000000001
67VrF9oBT1YH1AEPiWaDsdtkYi9bMb9mZtUzzZC266CLUWWGwuTrrBjnjBZicyAPvGaK37iciWgwFqzMiEKDzDfG,[object Object],2025-05-20T15:57:52.000Z,95,7,27,18,16,81,Partial Exit (Win),0.05,0.9000000000000001
2ikPYC3yMGEo1QggqMWaBjfigd6XVvkknfKxawC8FjLHsbfoWCsbuha3a8vzbCW78RYHZ5Q3JkV2eLLyUxn2EjCn,[object Object],2025-05-20T15:57:52.000Z,90,6,7,32,428,72,Moonshot (Win),0.2,1.1
46QgsDavs7HBK6tg5MFUZbDB4GycpsVdLcLfpokorZRtWMnDUs2Jk4ccdGqHZgR5J2AqibvhPhsSSyBenLbAyStk,[object Object],2025-05-20T15:57:52.000Z,16,7,5,98,350,194,Moonshot (Win),0.2,1.3
4YJSBUkd3pqeJ6EHa7Y17Yby2CsxthoDsSbLESvVSrwPx4xoff6ajyVNQLkRWBJfW83edkafqW9GZXsxHE1JybrW,[object Object],2025-05-20T15:57:52.000Z,12,1,29,15,234,46,Skipped,0,1.3
4RLu39DjG8zRE3A4GLYPKVvRo1J8CnGF6NSzENgDMXNj4V6DszG4qrdMxU6aAkE5F6SiTGbj9gwZdHCQbw7NNn9C,[object Object],2025-05-20T15:57:52.000Z,74,0,10,42,377,94,Skipped,0,1.3
5UN9ASm3coF8y3RUyMUiKHBSfZcQSoqQVzZRqSvZqL4Kw3eDK6KLZbGzqGne9XUdo9GxUSAcZzbKAqSPFQuHkV5v,[object Object],2025-05-20T15:57:52.000Z,49,2,18,38,354,274,Skipped,0,1.3
8zrmqNBJBHBJuDfFfeTfRhzSp4KSydDPPyYSDfARFFiqGghf7hrPTCfCBPaWEJREQ1pyGnejBHpaHqf4pfTVHk9,[object Object],2025-05-20T15:57:52.000Z,53,7,13,70,144,171,Partial Exit (Win),0.05,1.35
adhF5q248Xq9ea5HH8XYANfCrDuZ4BNAWYjHA1A7jSmbCPf3sMPSwM8QF741mEGMb8LA5HtqBv3iu72QaRHPbPS,[object Object],2025-05-20T15:57:52.000Z,25,0,24,99,262,141,Skipped,0,1.35
5e5wRHyqraNfHJhAmH2ULkUNMJM6jFdZ2uArfsw4ceaMZXcuYQVxUaa14D5Z2BHazNmCKkhgUdjYJVMJ8P5mfFyt,[object Object],2025-05-20T15:57:52.000Z,29,8,18,96,403,249,Moonshot (Win),0.2,1.55
2nHcpGijDgjN7nAauY6RD3Pi565JCyF642DCivJkU6wXsNTwr2DJep8hKycMSB6rqFrDFECMix3wL2zQiw8Fh5Nu,[object Object],2025-05-20T15:57:52.000Z,64,7,28,18,447,206,Moonshot (Win),0.2,1.75
2Buea5wSxwXrxbiXXRRMRGtQQ3FLXaYjSsamLRpdE5zupTQxgaThbUVnwcG6t1KXbXedv1YECzAX3NDkBFzKcsUh,[object Object],2025-05-20T15:57:52.000Z,53,6,10,47,174,159,Partial Exit (Win),0.05,1.8
zD2ppffoxz2CTUkPTjns1nC3AMkqQCk7JJbexfWoDZT2uawAtKPtCwnF4QGKwgiHwhR8io21Debo67a3ShxKJrF,[object Object],2025-05-20T15:57:52.000Z,88,5,13,24,66,218,Partial Exit (Win),0.05,1.85
2btUDUborwjL2MbCkEDA9b1HhLbyUE9VinY2WeFnjqhgEtdjjEU4Yvh68AG6VsXKKBnxkkk8V2UTwMzYwb2yuX5j,[object Object],2025-05-20T15:57:52.000Z,88,5,3,58,425,249,Moonshot (Win),0.2,2.0500000000000003
5Xa2EnXz511WVwNQ6i4fZ6ch7JQ4xCTueuuxJBBzM95K4nURYPm9EpqWeqq25crnYgwtxn8db4pjEgs3pJYhsuhw,[object Object],2025-05-20T15:57:52.000Z,22,6,28,80,464,191,Moonshot (Win),0.2,2.2500000000000004
56Sz94wgz2TUHiBQ92wNSZLuvBq4sKXYGp7nx27kM8tbGiEqEiwbdfecERZFF14YFrwSY4gRPf8X4fLpWuxPzaw7,[object Object],2025-05-20T15:57:52.000Z,58,8,6,27,362,283,Moonshot (Win),0.2,2.4500000000000006
3WfsaQq4zaA9nGytrXzgFcbKmmXuKra4gF8p1u9M53tneRfFAZ3EqT1s4F25354uBHMsbHMmnVbMn2DgnKH8drPH,[object Object],2025-05-20T15:57:52.000Z,58,6,12,16,290,96,Moonshot (Win),0.2,2.650000000000001
3gRTHKqgyDMcx92XKsw61kuPz4maEQaQLcvYjmnJt4U5VY71MgQMrh4DwCTHhVueGxEJjje7erMmn7qCiHgjyGCp,[object Object],2025-05-20T15:57:52.000Z,25,4,4,27,132,5,Skipped,0,2.650000000000001
2bJBSVkuRodnm69Nwg5G5gc1uKs7KaL7PkYB9qp9NvHRX2VJYzKpcdYvjBnxHaoNuf5PG2UTCBXRgTk3An199Maz,[object Object],2025-05-20T15:57:51.000Z,94,6,10,14,370,37,Partial Exit (Win),0.05,2.7000000000000006
3Xah89J8xx1MH683g97TSPVWeUvRNR7SPuzBVTfBfKY2cK8oY2DkcQNcwbkQJwcnLyCDRyspFkg7z6BpLosQ5mj6,[object Object],2025-05-20T15:57:51.000Z,22,0,18,34,215,182,Skipped,0,2.7000000000000006
4GxA8ChvURKbfsqEXw3shfyVDRzooCDv8dHvwyEN3PVDLB5fjEzGSqerBG6xyRKeSYrqoKEd9hts259gLfaJHwFD,[object Object],2025-05-20T15:57:51.000Z,75,3,4,48,24,169,Skipped,0,2.7000000000000006
JjmZjVPHdMDz7BdxFp5S6Qs2PRjnNTQeyLQyPbYmb2t46PSEudnqrhj9wSTTjuwcGzcVdq7FwwmgzhJ1XSC735U,[object Object],2025-05-20T15:57:51.000Z,17,0,8,5,478,101,Skipped,0,2.7000000000000006
4J1T9hVxujSKc4kXM4xZRpJeCQvWQAG539ZJXAUxq89F5uYhQuEQhWkkSugwijvDMxuoJEiTQk37UzVgtQmzY8bn,[object Object],2025-05-20T15:57:51.000Z,58,4,26,44,325,29,Skipped,0,2.7000000000000006
5SCdEhA6CnW16UXP79byPTCN3ZJbR3HY7binyHHJLk6NhX4kwzYYdmgXAbAVfo5zUC1yVjeWEv1E2cFosZUbqT9Q,[object Object],2025-05-20T15:57:51.000Z,38,9,21,7,99,164,Partial Exit (Win),0.05,2.7500000000000004
