Signature,CreatorWallet,LaunchTimestamp,InitialLiquidity,Buyers10s,Buyers30s,Buyers5m,MaxPriceAchievedPct,TimeAtMaxPriceSec,TradeResult,Profit_SOL,RunningTotal_SOL
3NPobNKh6CTbXs6QJafR9XyuzKaRdakwZBdMzcZzradSPE2yRk4wbiHSfhxGdiggJVkg2geCQJayB8kX1NGs3brM,[object Object],2025-05-20T14:45:29.000Z,59,2,20,55,187,271,Skipped,0,0
5mN8jPBf3AMThWwAYNCvLGycphEjC5A7a5ZrhBRXaYsBkM1tc3oqsie3b7BHwNF9k18Xg1DnWcVbveQRXyrsAzSt,[object Object],2025-05-20T14:45:29.000Z,46,0,6,46,344,194,Skipped,0,0
4PXDuWdUwwrwfeaARwvi2ftd4yqzAY5nuC4PWacC3NRG1WTo4sn9t8JYrYEGgpPZU8grn34wjTafgDDy2kvXDE5g,[object Object],2025-05-20T14:45:29.000Z,99,8,0,14,311,39,Partial Exit (Win),0.05,0.05
wDrkjS9UqJtcusx6Xy6n8PCthiXt1Cb37YBj3SrQwan9YnnEAGJCJqkeMkbZHu1bbbyw1RdZX7ctcWZcCr8FMjn,[object Object],2025-05-20T14:45:29.000Z,36,5,13,7,271,169,Moonshot (Win),0.2,0.25
3DhAvxDarKP6ZiNk1REGz7ijPhjCmbeFJX3ZBCganVpXFcerYoreTERwEtPQMtyHWdGqoSPKmSDsou1Dk9GbpX3C,[object Object],2025-05-20T14:45:29.000Z,63,1,26,77,415,265,Skipped,0,0.25
3dvvWNXJonYNSX4ptN786gXQppZvSgavPu3Zk55G85H9hsUcsDZ3V7HnoFAEKgTcTw9F9vCDHZh5EUWLxivF3jmK,[object Object],2025-05-20T14:45:29.000Z,21,7,28,49,254,244,Moonshot (Win),0.2,0.45
4rrKyTDEB3BMjLLrRhAwk7JcWQVgfZrZRmYAtHzsdn7vVTu9LxWwhG2AUTsxS1cyDeLHpVFfa23VgbK93grFMB6U,[object Object],2025-05-20T14:45:29.000Z,51,1,2,85,473,228,Skipped,0,0.45
2YvJPnp9rgitSEfuDseGrDuMBxJ5s6bEMvVHwPrqFc1XBydToYrjW22bPk4e1Un4UeSNPJzpa2ajJ8FMn6mPy6TE,[object Object],2025-05-20T14:45:29.000Z,18,2,28,98,290,221,Skipped,0,0.45
29pjJMQqwpTzoXtxFzTMS2fS1CmTD9fCGPcB6U2Vz9Jj1eG8BMQJU1KZYDJBQgc6qeRaGDc2Yk4SiaewWmX6R6EJ,[object Object],2025-05-20T14:45:29.000Z,58,5,25,14,478,78,Moonshot (Win),0.2,0.65
4189D8215zr8RvMqY8TJX3j4Zb2EDJPUnM6oEuWUUMxNg5c8jKMzduqu7VTCiPBEQwRJxgnVEhNqgXXF8XL347Cs,[object Object],2025-05-20T14:45:29.000Z,6,3,28,63,109,251,Skipped,0,0.65
