Signature,CreatorWallet,LaunchTimestamp,InitialLiquidity,Buyers10s,Buyers30s,Buyers5m,MaxPriceAchievedPct,TimeAtMaxPriceSec,TradeResult,Profit_SOL,RunningTotal_SOL
3ghiT63Z2iY2sATFyGQ3TYEifjXd6QDnEkoajUK4RimJEpYpzich8wCjH53JM3dD5nbpyPwxNsNRZVXqwz4WdXUU,[object Object],2025-05-20T19:44:30.000Z,33,3,22,78,312,206,Skipped,0,0
3shgGcBMmV2qjgNd8jTvRU7d6Y5fsoM6uecjZFqHNJRp4YxLLcBsPjkeYUQTR8t7kR1LaFgedBdppzWVhMJk3PwR,[object Object],2025-05-20T19:44:30.000Z,28,2,5,9,400,17,Skipped,0,0
8xKXhKU5oAVGDNZQXPNwC5M6XS7zJjfYJQvnitorgRA6GUv3V9Fonw2wDPzimy7TguJ2MorkmMScnXKyxw4v4fG,[object Object],2025-05-20T19:44:30.000Z,26,6,25,27,287,161,Moonshot (Win),0.2,0.2
zp1YSCDz3gPdHUQrqSp24WqWEDMqsDY7x1kXKLmzRtcw11jJSEG8YZ9n9uH1LU6HNtmzGTKTD1RMq8aZoRjwU8W,[object Object],2025-05-20T19:44:30.000Z,74,3,2,27,406,287,Skipped,0,0.2
5aEfxZZuXrRaovb2MZnm26GG4cKvniDed6q8tjGHsigJmJk7ZRNmA4dACiZTMW6Sy6SNEqRQMcS3RdTHZnrjAoWS,[object Object],2025-05-20T19:44:30.000Z,8,4,12,32,271,9,Skipped,0,0.2
2AbturabNZGVYxE5diwmkXsneoV7KyYVVekUXiiBwRPevtoxCCew4MyXDNg8qmXyT9bWK32QPsMPgFS4cFtex823,[object Object],2025-05-20T19:44:30.000Z,31,0,5,48,484,103,Skipped,0,0.2
WEHDgPsoU5KNEw2J1fSmqZizhDVWVW55nx4qV6aMMK5QZK8wmna8ANsFbs2WADTjqTfbz6HTSPXoXg8ctVj1a5S,[object Object],2025-05-20T19:44:30.000Z,66,7,5,59,261,211,Moonshot (Win),0.2,0.4
4bMzSUbjBNUFC3pSkVd97s45dknbkQj943qP751YrQG7bP8UpYj3jtgX6QmN2pC7F4BAxsTouTjEQUsWRtd6V724,[object Object],2025-05-20T19:44:30.000Z,52,0,8,71,248,119,Skipped,0,0.4
4nNYUGm3fSw1zZcNqECvDwfTRb6dQxo9vXrtkPG6BNmfapCtYBSsw4d5w1j1oPyiReaANf9BQKqhap3nNYVJjsRu,[object Object],2025-05-20T19:44:30.000Z,17,4,9,82,239,263,Skipped,0,0.4
T3yredUQ1mRywkHJhQT97nC1WPw4ndzikjiqV5HcRd5J5oF5jSezftqnvn7EyCWzaQh6pKeDjWskMrK6nSN4h22,[object Object],2025-05-20T19:44:30.000Z,56,2,28,61,244,74,Skipped,0,0.4
5WfRh5pibkXQhLx6xAnLhqox6SBou9iueuJKm6G8JTLDu898ffuvp5sU4Z8gg5BcZ9sxCcyuYGJTRFiVZzV7xJXT,[object Object],2025-05-20T19:44:29.000Z,98,2,29,90,201,230,Skipped,0,0.4
5Tq6eQLTS2nfWmQLktLdwe9xngbuj4EGrKKACSgpKQcghGsWMmZNqwJedrA6MUBSWCcpYhVqfoiT5Fq3fxHK1VrY,[object Object],2025-05-20T19:44:29.000Z,38,8,13,56,214,101,Moonshot (Win),0.2,0.6000000000000001
pv3GSeUX8eXxytz8phU5HZXxVdAfDWjMWD5hJis3v7wUcd26htwpBw1nFPXurvv3BRbKzejEMLzhDsj8CuhjopM,[object Object],2025-05-20T19:44:29.000Z,10,3,1,91,315,19,Skipped,0,0.6000000000000001
3FECzTdVTRdoca7fuFsKHsV29kV6nuSL13gzoCL2fcg5TVik3FyVAiYYUGX8VNaoZ2wAak63rywMG7XdJEJWqvXT,[object Object],2025-05-20T19:44:29.000Z,69,2,17,77,425,106,Skipped,0,0.6000000000000001
4jHZ9E42QnVjhR87UJQKM5KCfw8rqoNdmzQWZHudca6MjczvaUpHZsrKXkchgRLEqP3McGaM4VwXcqeCXPbf1oo8,[object Object],2025-05-20T19:44:29.000Z,17,2,22,89,66,281,Skipped,0,0.6000000000000001
4AJLsjbA4y5UZkCDcQjvw3Hub9Y2r3gPcPyxKbyHsYNGTVkJfhQT4FnRy8M23zMKegYsxaAMeCY4cBHxb2zw85rA,[object Object],2025-05-20T19:44:29.000Z,84,2,2,52,293,209,Skipped,0,0.6000000000000001
3bUj476S3oeBPFXCSHCxKeEPazYA5T6Sh9Wk8Qoxs8NTfJ4LwHNUfQDj9o1sHFYcubk2Z95WKGTjFCGrNGUnepax,[object Object],2025-05-20T19:44:29.000Z,72,0,1,96,288,93,Skipped,0,0.6000000000000001
28iLT2X99qh2KtKZRQNhZBnc5VZZxtDJmFwaaB4yjpjbv5FmTtg8f94oQrHoM5nwV6w6y7n8ZXYjbyf2AdG1wdji,[object Object],2025-05-20T19:44:29.000Z,69,9,28,44,302,90,Moonshot (Win),0.2,0.8
4bnHwKpZENtmUFG1TbefHh4Jnrdb4k1scBMwMT4CPv7ZZNb33Qg1MaDpsipw9EXpM8jxU8Q5ucqNQXbv8EvT9sw4,[object Object],2025-05-20T19:44:29.000Z,93,2,14,83,54,281,Skipped,0,0.8
36Js3TjL9nBZTK3oTLDErmjfv4gAfYmEoUjawB2Ym79ghHCayRkpnYN9PDyhcdLhZNaJwt2BWLJSgAt262qGTdnB,[object Object],2025-05-20T19:44:29.000Z,33,0,20,93,422,261,Skipped,0,0.8
fxTQT7hs7SsZzkAQw1rvuu83SwcPCM3iBccsjdwaYecKQ9EVdXvSEnjD7hnUPS5AyqGM9sLy8U8jjtvoC1WNCja,[object Object],2025-05-20T19:44:29.000Z,85,1,29,37,288,277,Skipped,0,0.8
5zf7o2Qn2CozucRZTXQjuFJ4TgcQ9t2eb7g9cwpByR2tDSumcgS2zZNcD6jRSLoh8Dc4E5Zzbb9xnvFNb4YPX3er,[object Object],2025-05-20T19:44:29.000Z,28,3,11,2,258,87,Skipped,0,0.8
5XzLvVBGpRdtfnbAmaDX1QBKh8EPp7FPeQTdghQtPXD5prbUxXnsxZcS1dZ51xcoY6DQMXewbc2NVzVQsFfSytwK,[object Object],2025-05-20T19:44:29.000Z,16,8,16,13,170,96,Partial Exit (Win),0.05,0.8500000000000001
2DVvB5ThK87UsXZK5sQLbQrL1QgZsnRzy4Gj523bMoNf4j6yxG1u5a7cYkjikuZXzMpiES45RF11LBJ8DAyx3SGa,[object Object],2025-05-20T19:44:29.000Z,8,2,21,49,301,96,Skipped,0,0.8500000000000001
4Mvn7bAEEMSpZ5b76xPrdYM1g6a5x9MVDyHYqrq7XPVgnt7fXzDCEPCeMYUnfAeLnNgSYqFqq5rySys8rR3uQD4K,[object Object],2025-05-20T19:44:29.000Z,53,9,15,19,45,114,Partial Exit (Win),0.05,0.9000000000000001
