Signature,CreatorWallet,LaunchTimestamp,InitialLiquidity,Buyers10s,Buyers30s,Buyers5m,MaxPriceAchievedPct,TimeAtMaxPriceSec,TradeResult,Profit_SOL,RunningTotal_SOL
34CEboE1FQTJBpqa4443V4e9hsxww2mjCuJBCgDLCgq3YTRjQvnV33V2oYnGH19kGaDPj5DdKEoMo55aCtATcoGj,[object Object],2025-05-20T15:44:16.000Z,17,7,9,17,16,29,Partial Exit (Win),0.05,0.05
5FpWAXbKDjyXf5b8JWHMicsEQKfDRn3ptgkvxHSH5pjpCGNRmXieZxc6xLh7ZCisD6vuMTFvkumPYtx562D4id1Z,[object Object],2025-05-20T15:44:16.000Z,89,8,10,17,10,289,Partial Exit (Win),0.05,0.1
4qAPVzW8Ur4BVQMw3uqVt8oP6P8GPLACwUqsXMJdfW8Ye6RTeJVMEfnGJHQej3VQPmw6PPujuALjLFEScDRo8LJC,[object Object],2025-05-20T15:44:16.000Z,79,5,14,8,101,128,Partial Exit (Win),0.05,0.15000000000000002
4dBWF9SRVsVhPicmRbZMyz9kkn1XPTeTELjV7qoRbaJmhUCHmGN8gkX3CR2bHjtYENf2wDvHp295ETVM4xYwHRKP,[object Object],2025-05-20T15:44:16.000Z,60,4,11,38,26,166,Skipped,0,0.15000000000000002
ewQuEQKErgX4syLLq17SSHrBygpANvCSNeiBE4ULXHVVfHtDoK91a4NUJGPGvKG31LjYZqNSYSbUSJaMwFffabe,[object Object],2025-05-20T15:44:16.000Z,84,7,12,69,438,276,Moonshot (Win),0.2,0.35000000000000003
374VFtxqbYVo9ebu4F2faAEYWUZaEXNGbYDQsBimR4VwNmucMA8tnfRqh7mvS3ygYxQHZzEFqAjS1zRG5yDpALGc,[object Object],2025-05-20T15:44:16.000Z,84,6,10,41,424,117,Moonshot (Win),0.2,0.55
WCgmdvCf473YUgkt4371siG1KBe5MQoWV1qEPJ2ZNRS5VWx3CgBfkug5f6SHQqKUNf3SchCeqmB2kW93Vc8f4wW,[object Object],2025-05-20T15:44:16.000Z,67,8,16,48,102,142,Partial Exit (Win),0.05,0.6000000000000001
2zxrbR9KzdrWVAjPWq88Zqdg1ZdL5GBeuHkgivrpmpC5y688uXD6aiwo8KymAdMKD4nadY6rxe3EqULV8zajowdS,[object Object],2025-05-20T15:44:16.000Z,95,0,18,46,161,9,Skipped,0,0.6000000000000001
5xbb5JhFf4VHBeqwgv16rNkk1DFwKkHBurTtDz6ghkbnBnaSQanvM5VvsXGggcpGf6eJrmiA5AkNVeYf1KHCM79F,[object Object],2025-05-20T15:44:16.000Z,27,9,4,5,165,261,Partial Exit (Win),0.05,0.6500000000000001
3Ee2jHjeVQGmPr2JFK2b4oEvCSspdfCTNwNWi4p9yoiww8rtiywaDfn88qMKLJqGRUcALE1HmUG3T6EL5rWz5zVW,[object Object],2025-05-20T15:44:16.000Z,4,9,5,52,390,193,Moonshot (Win),0.2,0.8500000000000001
2mLGciqX2EvwwBqCSLZJErcYLV44uQWJHPugMH8v2ncQLGkTCJBF1ioPYtd4tTnuYMT51MXgUEEzAc9Heff4D7sK,[object Object],2025-05-20T15:44:16.000Z,5,9,18,76,54,290,Partial Exit (Win),0.05,0.9000000000000001
34ytL1ppXE8SHGHqHv9Vfc8b4SmPBQcgX1BjvA1qYCjSzskhEaYNnzMjnNciGGeZQ31E7xyQijk8JNDq1wotFKbi,[object Object],2025-05-20T15:44:16.000Z,41,3,15,10,115,102,Skipped,0,0.9000000000000001
4drGa6tWJCdvyAwxPmEkXEbLqJWTTp8u5PP9yeswWWDLqktpWAGoUt5sAtEyigGRYfT9SDg7HUgwp5AbEmd6QNvm,[object Object],2025-05-20T15:44:16.000Z,21,4,14,75,355,249,Skipped,0,0.9000000000000001
9tmWCpWv49uHjbCdpxRCSSpMJdo69Y5EE5YXaZM92XarZUC1gCSY2KCtAPNfnmS4naxwLiQ26GxZaKsruiRuLoi,[object Object],2025-05-20T15:44:16.000Z,85,3,29,23,77,84,Skipped,0,0.9000000000000001
3QFTMEr8ZMPHoYiZkpuQ4xjmLu878Rvrpmbm7gJ5zSv3HAoFgLC3cbbidKg2FiM76E8ZkxsEBpBorwRrjSseCLyV,[object Object],2025-05-20T15:44:15.000Z,40,0,9,93,143,71,Skipped,0,0.9000000000000001
5PpidXpChZVHkVSqosEuSQiQxP4PrVpC9ytfJKXXmgLvbMEUz6nEazmAsHJJ2kjCcabZbFnWbpXXnLXw8eFL9vMX,[object Object],2025-05-20T15:44:15.000Z,30,1,3,25,381,159,Skipped,0,0.9000000000000001
5efRUcPR8QrhWJcG3ocNhWrM14Jas1WiFKVXJR5eYdhNcy3mRtyEqxT2usuAfBjmV4hasc4w76wivabTSjL643hC,[object Object],2025-05-20T15:44:15.000Z,93,2,7,50,94,291,Skipped,0,0.9000000000000001
2gLNoDn1JMACX7YBKKuAbGy2jjenMJZXMY1WFCqskuALanmjWCdgafy5WiFbmvh1EgECKfuePKvLXH3SCsP5nRfC,[object Object],2025-05-20T15:44:15.000Z,99,6,17,45,419,184,Moonshot (Win),0.2,1.1
gharrbyrv2GSaiVJCKy8osMvBXgwPXj2VS7e6yYxzJhNhgUXPRQMgYknr3YCpcJVnBn86dqd1wBPGhH6t3ewiv4,[object Object],2025-05-20T15:44:15.000Z,15,1,14,45,227,19,Skipped,0,1.1
4WMrC3nJ9Y8zjiXvjmGovAyRWMvzFxG1jcQLh46iKPeTM6xSxaKv3DFfMkAnygmGQSVKPKkxrsbmQskDUiqpYedk,[object Object],2025-05-20T15:44:15.000Z,74,1,28,74,185,155,Skipped,0,1.1
3uT3rdjN8y8P6ZK1SHouLqLEiuT8kooFFwKxpvGRBaLAB5efACqHvu3DusPq9gLY4GkuZ8JbrLe8N3GBEBB1jYg4,[object Object],2025-05-20T15:44:15.000Z,13,2,19,21,396,212,Skipped,0,1.1
45Qy8Beyv35TKznqrUtmy1jVfHR6ERw12wWF8a3UUJ3tzLtUVQRr6YvfX4ySSoUiaC7spPZkWvi6PadMUjvSVNgj,[object Object],2025-05-20T15:44:15.000Z,33,7,29,91,466,50,Partial Exit (Win),0.05,1.1500000000000001
5hhurWrgmiuo47YPPgn5SB8gZfDpEW3b25Jx2S61D8rCHiL2C697THkgWEPwZ8mzxa5uuxDkarFoAwxMb9H7sfoT,[object Object],2025-05-20T15:44:15.000Z,34,5,3,39,451,174,Moonshot (Win),0.2,1.35
G4ZppJFxoSqbJNJsi2xKvLECbeZuuqfK7xjco1qGe5t6dkyQAoKdcXczQLKzMW1ALKZGZTxnx3FbPXDCaDP8ajZ,[object Object],2025-05-20T15:44:15.000Z,61,2,15,97,474,167,Skipped,0,1.35
4qWUdpTjkAzfyqwYRvKm82mFy1h3XpL9vFctGgBqvQU3bnGMzarG9tADJvwn326BwoAWL9BsgMjzk98F2BjueWCm,[object Object],2025-05-20T15:44:15.000Z,24,7,1,39,107,211,Partial Exit (Win),0.05,1.4000000000000001
64V41muoih7djWhX9u1ZbWnjy1ouLBkwNEqwoQ6LFqYSptVt45fBAUQpfFyF8GWtwDiQLeSD2YchKR9CDdwdjArR,[object Object],2025-05-20T15:44:15.000Z,43,9,10,18,275,112,Moonshot (Win),0.2,1.6
3BhjZN52ucAg7Xw9r9G4q9nbKaBFTkozRbMnHWianEw3fyo4gyuXviV6VeifhdZCDg4KAcytrUNbV9oZkGbb7vm7,[object Object],2025-05-20T15:44:15.000Z,35,2,11,92,459,285,Skipped,0,1.6
2LHVufxVU4ompbN4XEb637J8k6QeW9fS3xqhhrXcxPPm7JcfXiEWhghqL8AoexuNhfot95ZEXEJeUWpM4g3Lg9mj,[object Object],2025-05-20T15:44:15.000Z,34,0,8,94,335,85,Skipped,0,1.6
DkbYfzorRNRhtyTZ7XncEC7A9KtYZZEo2yuTGgV4Lg7smSeagov4K8aNLuowc5jC8N8hC9dpgab8rzyzgqfNMUk,[object Object],2025-05-20T15:44:15.000Z,58,0,25,2,249,16,Skipped,0,1.6
41QLmmfYLpfcxLHxA7sw8e7UJ1aTXxsTdCMX7KB2MCDwbTd72jWMsB21yHp7bYMDgf3mQNwEAHPZ7WFGpjHe58YF,[object Object],2025-05-20T15:44:15.000Z,19,4,11,93,487,272,Skipped,0,1.6
5KwRyyj4f7b5oNfyRBLUMyMohS81k2Gxzv2vLaDejUEodhZZ814yxUP2wz1gmi99uDTuiyqBwLzFkiy3iy8qcLqb,[object Object],2025-05-20T15:44:15.000Z,72,4,3,98,165,76,Skipped,0,1.6
2rfR3NfmRmocinHYwTZRerPwGPSdUyvcxUtLuh71Y9SkEyfenYm2Gm6gVncnYacvEqjvvM1wX7mAQwrt5r755dqw,[object Object],2025-05-20T15:44:15.000Z,7,5,15,25,406,171,Moonshot (Win),0.2,1.8
5Ep3QrvKQXwauMTfQLshVkkqwf11ssu2Y7Byjj7C7vDuTNKMdjDN1Mr4kGEemCbyMzTEobCjuuRN4ziwaBWkKUW6,[object Object],2025-05-20T15:44:15.000Z,29,4,13,1,485,73,Skipped,0,1.8
